关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接,股票代码,股票名称
601318,平安再增持中国人寿H股，持股比例超11%，总持仓超8.24亿股,根据平安人寿母公司中国平安集团（601318.SH，02318.HK）4月初发布的年报，2025年中国平安实现归母营运利润1344.15亿元，同比增长10.3%；归母扣非净利润1437.73亿元，同比增长22.5%。,2026-04-21 17:51:35,界面新闻,http://finance.eastmoney.com/a/202604213712454086.html,601318,中国平安
601318,43股获杠杆资金净买入超亿元,非银金融 300900 广联航空 5.14 10647.83 62162.54 5.38 国防军工 603063 禾望电气 9.99 10544.17 139384.37 7.48 电力设备 600096 云天化 -1.33 10528.27 280466.78 4.61 基础化工 601318,2026-04-20 09:29:00,证券时报网,http://finance.eastmoney.com/a/202604203710163446.html,601318,中国平安
601318,热度飙升！外资年内调研A股超1800次，聚焦硬科技,300750.SZ）、贵州茅台（600519.SH）、美的集团（000333.SZ）、招商银行（600036.SH）、中际旭创（300308.SZ）、北方华创（002371.SZ）、紫金矿业（601899.SH）、汇川技术（300124.SZ）、思源电气（002028.SZ）、中国平安（601318,2026-04-22 17:47:18,界面新闻,http://finance.eastmoney.com/a/202604223714193190.html,601318,中国平安
601318,强势股追踪 主力资金连续5日净流入72股,（数据宝） 连续5日或以上主力资金净流入个股排名 证券代码 证券简称 主力资金净流入天数 主力资金净流入金额（亿元） 主力资金净流入比例（%） 累计涨跌幅（%） 000338 潍柴动力 6 12.12 5.92 11.39 601318 中国平安 6 9.67 3.92 3.55,2026-04-15 16:48:00,证券时报网,http://finance.eastmoney.com/a/202604153705977211.html,601318,中国平安
601318,【盘中播报】72只股长线走稳 站上年线,3.73 3.64 13.64 13.89 1.83 600664 哈药股份 1.91 2.60 3.67 3.74 1.81 600031 三一重工 2.01 0.31 20.40 20.77 1.80 601665 齐鲁银行 2.05 0.74 5.88 5.97 1.58 601318,2026-04-14 10:54:00,证券时报网,http://finance.eastmoney.com/a/202604143704143428.html,601318,中国平安
601318,强势股追踪 主力资金连续5日净流入114股,主力资金净流入比例（%） 累计涨跌幅（%） 002364 中恒电气 7 13.57 18.01 65.72 301308 江波龙 6 11.66 3.29 33.60 603256 宏和科技 7 10.25 7.27 43.36 000338 潍柴动力 5 9.90 5.79 9.63 601318,2026-04-14 16:46:00,证券时报网,http://finance.eastmoney.com/a/202604143704430649.html,601318,中国平安
600036,37股获融资客大手笔净买入,4.20 机械设备 300604 长川科技 1.54 14264.27 245031.48 3.17 电子 301308 江波龙 4.19 13335.06 409691.69 4.00 电子 688521 芯原股份 -2.88 13229.70 444501.37 3.70 电子 600036,2026-04-27 09:21:00,证券时报网,http://finance.eastmoney.com/a/202604273719663252.html,600036,招商银行
600036,2803家公司公布派现方案 合计派现13941.01亿元,279.9300 350.33 42.56 食品饮料 601318 中国平安 17.5000 316.88 23.51 非银金融 300750 宁德时代 69.5700 315.30 43.67 电力设备 000333 美的集团 38.0000 285.87 65.05 家用电器 600036,2026-04-27 09:34:00,证券时报网,http://finance.eastmoney.com/a/202604273719697283.html,600036,招商银行
600036,2442家公司公布派现方案 合计派现13315.43亿元,279.9300 350.33 42.56 食品饮料 601318 中国平安 17.5000 316.88 23.51 非银金融 300750 宁德时代 69.5700 315.30 43.67 电力设备 000333 美的集团 38.0000 285.87 65.05 家用电器 600036,2026-04-24 09:24:00,证券时报网,http://finance.eastmoney.com/a/202604243717416657.html,600036,招商银行
600036,15.53亿元主力资金今日撤离银行板块,主力资金流量（万元） 601166 兴业银行 -1.09 0.60 -53349.64 000001 平安银行 -0.90 0.43 -24195.82 601398 工商银行 -1.31 0.08 -22095.65 601288 农业银行 -1.53 0.09 -18471.64 600036,2026-04-22 17:19:00,证券时报网,http://finance.eastmoney.com/a/202604223714153834.html,600036,招商银行
